"2023-05-10 15:13:45,712 [INFO] Reporter Initialized!
"2023-05-10 15:13:45,712 [INFO] Reporter LEVEL: info
"2023-05-10 15:13:45,712 [INFO] Usung random data
"2023-05-10 15:13:46,946 [INFO] None
"2023-05-10 15:13:46,946 [INFO] Device(cuda) is working for train
"2023-05-10 15:13:46,946 [INFO] Train Started
"2023-05-10 15:14:18,000 [INFO] EPISODE 2220, LOSS 0.12069331109523773
"2023-05-10 15:14:18,130 [INFO] EPISODE 2230, LOSS 0.2064623087644577
"2023-05-10 15:14:18,267 [INFO] EPISODE 2240, LOSS 0.21947823464870453
"2023-05-10 15:14:18,402 [INFO] EPISODE 2250, LOSS 0.14464695751667023
"2023-05-10 15:14:18,531 [INFO] EPISODE 2260, LOSS 0.125910222530365
"2023-05-10 15:14:18,717 [INFO] EPISODE 2270, LOSS 0.19152933359146118
"2023-05-10 15:14:18,853 [INFO] EPISODE 2280, LOSS 0.20879779756069183
"2023-05-10 15:14:18,995 [INFO] EPISODE 2290, LOSS 0.11493804305791855
"2023-05-10 15:14:19,123 [INFO] EPISODE 2300, LOSS 0.25783175230026245
"2023-05-10 15:14:19,256 [INFO] EPISODE 2310, LOSS 0.15644551813602448
"2023-05-10 15:14:19,393 [INFO] EPISODE 2320, LOSS 0.2608641982078552
"2023-05-10 15:14:19,530 [INFO] EPISODE 2330, LOSS 0.15798433125019073
"2023-05-10 15:14:19,670 [INFO] EPISODE 2340, LOSS 0.2228107899427414
"2023-05-10 15:14:19,812 [INFO] EPISODE 2350, LOSS 0.21770870685577393
"2023-05-10 15:14:19,944 [INFO] EPISODE 2360, LOSS 0.12851381301879883
"2023-05-10 15:14:20,070 [INFO] EPISODE 2370, LOSS 0.15584921836853027
"2023-05-10 15:14:20,203 [INFO] EPISODE 2380, LOSS 0.12922075390815735
"2023-05-10 15:14:20,345 [INFO] EPISODE 2390, LOSS 0.14020274579524994
"2023-05-10 15:14:20,482 [INFO] EPISODE 2400, LOSS 0.3787265717983246
"2023-05-10 15:14:20,614 [INFO] EPISODE 2410, LOSS 0.1641809046268463
"2023-05-10 15:14:20,753 [INFO] EPISODE 2420, LOSS 0.17431853711605072
"2023-05-10 15:14:20,884 [INFO] EPISODE 2430, LOSS 0.11253588646650314
"2023-05-10 15:14:21,012 [INFO] EPISODE 2440, LOSS 0.21861420571804047
"2023-05-10 15:14:21,141 [INFO] EPISODE 2450, LOSS 0.220952570438385
"2023-05-10 15:14:21,268 [INFO] EPISODE 2460, LOSS 0.1881195604801178
"2023-05-10 15:14:21,396 [INFO] EPISODE 2470, LOSS 0.14187867939472198
"2023-05-10 15:14:21,532 [INFO] EPISODE 2480, LOSS 0.19647864997386932
"2023-05-10 15:14:21,661 [INFO] EPISODE 2490, LOSS 0.09921513497829437
